DATE,TOTAL CASES,TOTAL DEATHS
02-02-20,2,0
03-02-20,3,0
02-03-20,5,0
03-03-20,6,0
04-03-20,28,0
05-03-20,30,0
06-03-20,31,0
07-03-20,34,0
08-03-20,39,0
09-03-20,44,0
10-03-20,50,0
11-03-20,60,0
12-03-20,74,1
13-03-20,81,2
14-03-20,84,2
15-03-20,110,2
16-03-20,114,2
17-03-20,137,3
18-03-20,151,3
19-03-20,173,4
20-03-20,223,4
21-03-20,315,4
22-03-20,360,7
23-03-20,468,9
24-03-20,519,10
25-03-20,606,10
26-03-20,694,16
27-03-20,834,19
28-03-20,918,19
29-03-20,1024,27
30-03-20,1251,32
31-03-20,1397,35
01-04-20,1834,41
02-04-20,2069,53
03-04-20,2547,62
04-04-20,3072,75
05-04-20,3577,83
06-04-20,4281,111
07-04-20,4789,124
08-04-20,5274,149
09-04-20,5865,169
10-04-20,6761,206
11-04-20,7529,242
12-04-20,8447,273
13-04-20,9352,324
14-04-20,10815,353
15-04-20,11933,392
16-04-20,12759,420
17-04-20,13835,452
18-04-20,14792,488
19-04-20,16116,519
20-04-20,17656,559
21-04-20,18985,603
22-04-20,20471,652
23-04-20,21700,686
24-04-20,23452,723
25-04-20,24942,779
26-04-20,26917,826
27-04-20,28380,886
28-04-20,29974,937
29-04-20,31787,1008
30-04-20,33610,1075
01-05-20,35365,1152
02-05-20,37776,1223
03-05-20,40263,1306
04-05-20,42836,1389
05-05-20,46711,1583
06-05-20,49391,1694
07-05-20,52952,1783
08-05-20,56342,1886
09-05-20,59662,1981
10-05-20,62939,2109
11-05-20,67152,2206
12-05-20,70756,2293
13-05-20,74281,2415
14-05-20,78003,2549
15-05-20,81970,2649
16-05-20,85940,2752
17-05-20,90927,2872
18-05-20,96169,3029
19-05-20,101139,3163
20-05-20,106750,3303
21-05-20,112359,3435
22-05-20,118447,3583
23-05-20,125101,3720
24-05-20,131868,3867
25-05-20,138845,4021
26-05-20,145380,4167
27-05-20,151767,4337
28-05-20,158333,4531
29-05-20,165799,4706
30-05-20,173763,4971
31-05-20,182143,5164
01-06-20,190535,5394
02-06-20,198706,5598
03-06-20,207615,5815
04-06-20,216919,6075
05-06-20,226770,6348
06-06-20,236657,6642
07-06-20,246628,6929
08-06-20,256611,7200
09-06-20,266598,7471
10-06-20,276583,7745
11-06-20,286579,8102
12-06-20,297535,8498
13-06-20,308993,8884
14-06-20,320922,9195
15-06-20,332424,9520
16-06-20,343091,9900
17-06-20,354065,11903
18-06-20,366946,12237
19-06-20,380532,12573
20-06-20,395048,12948
21-06-20,410461,13254
22-06-20,425282,13699
23-06-20,440215,14011
24-06-20,456183,14476
25-06-20,473105,14894
26-06-20,490401,15301
27-06-20,508953,15685
28-06-20,528859,16095
29-06-20,548318,16475
